Run,Node,Cost,Previous,Path
1,A,0,,A -> D -> G -> J -> L -> N -> O
1,B,4.828795877280378,A,A -> D -> G -> J -> L -> N -> O
1,C,4.094591097728872,A,A -> D -> G -> J -> L -> N -> O
1,D,1.46244769580509,A,A -> D -> G -> J -> L -> N -> O
1,E,9.07259101898142,B,A -> D -> G -> J -> L -> N -> O
1,F,5.632726706538939,C,A -> D -> G -> J -> L -> N -> O
1,G,4.603171155966635,D,A -> D -> G -> J -> L -> N -> O
1,H,10.900181988146763,E,A -> D -> G -> J -> L -> N -> O
1,I,8.202625782927988,F,A -> D -> G -> J -> L -> N -> O
1,J,7.569508943632211,G,A -> D -> G -> J -> L -> N -> O
1,K,10.794632079614633,J,A -> D -> G -> J -> L -> N -> O
1,L,9.557146484272955,J,A -> D -> G -> J -> L -> N -> O
1,M,15.210450441952805,K,A -> D -> G -> J -> L -> N -> O
1,N,12.372288901209933,L,A -> D -> G -> J -> L -> N -> O
1,O,16.63827109303532,N,A -> D -> G -> J -> L -> N -> O
2,A,0,,A -> C -> F -> I -> L -> N -> O
2,B,4.445159041618768,A,A -> C -> F -> I -> L -> N -> O
2,C,3.505720515987881,A,A -> C -> F -> I -> L -> N -> O
2,D,1.7622939557441542,A,A -> C -> F -> I -> L -> N -> O
2,E,6.33507862057272,B,A -> C -> F -> I -> L -> N -> O
2,F,4.803186391455885,C,A -> C -> F -> I -> L -> N -> O
2,G,6.0298309220897846,D,A -> C -> F -> I -> L -> N -> O
2,H,8.86594359354964,E,A -> C -> F -> I -> L -> N -> O
2,I,9.185248739371028,F,A -> C -> F -> I -> L -> N -> O
2,J,9.939560081759232,G,A -> C -> F -> I -> L -> N -> O
2,K,10.382581904413431,H,A -> C -> F -> I -> L -> N -> O
2,L,11.637482722813617,I,A -> C -> F -> I -> L -> N -> O
2,M,14.872708738100936,K,A -> C -> F -> I -> L -> N -> O
2,N,13.3697051440639,L,A -> C -> F -> I -> L -> N -> O
2,O,17.840902396304358,N,A -> C -> F -> I -> L -> N -> O
3,A,0,,A -> D -> G -> J -> K -> M -> O
3,B,2.90957844056629,A,A -> D -> G -> J -> K -> M -> O
3,C,4.434572961363864,A,A -> D -> G -> J -> K -> M -> O
3,D,1.6007858749429187,A,A -> D -> G -> J -> K -> M -> O
3,E,5.865383323887718,B,A -> D -> G -> J -> K -> M -> O
3,F,9.290671345556916,C,A -> D -> G -> J -> K -> M -> O
3,G,4.967072346351031,D,A -> D -> G -> J -> K -> M -> O
3,H,8.846065758991536,E,A -> D -> G -> J -> K -> M -> O
3,I,13.449363708256758,F,A -> D -> G -> J -> K -> M -> O
3,J,9.373775625214176,G,A -> D -> G -> J -> K -> M -> O
3,K,11.694108448283796,J,A -> D -> G -> J -> K -> M -> O
3,L,11.64124870713649,J,A -> D -> G -> J -> K -> M -> O
3,M,12.92298818945546,K,A -> D -> G -> J -> K -> M -> O
3,N,13.607731833310103,L,A -> D -> G -> J -> K -> M -> O
3,O,15.155636674508758,M,A -> D -> G -> J -> K -> M -> O
4,A,0,,A -> B -> E -> H -> K -> M -> O
4,B,2.63148515325334,A,A -> B -> E -> H -> K -> M -> O
4,C,2.371648997991005,A,A -> B -> E -> H -> K -> M -> O
4,D,4.912278238307909,A,A -> B -> E -> H -> K -> M -> O
4,E,6.222804836812852,B,A -> B -> E -> H -> K -> M -> O
4,F,4.569635881230527,C,A -> B -> E -> H -> K -> M -> O
4,G,7.307189257204073,D,A -> B -> E -> H -> K -> M -> O
4,H,7.491626850002874,E,A -> B -> E -> H -> K -> M -> O
4,I,6.595290529405317,F,A -> B -> E -> H -> K -> M -> O
4,J,12.000239331810459,G,A -> B -> E -> H -> K -> M -> O
4,K,10.013360288153605,H,A -> B -> E -> H -> K -> M -> O
4,L,9.69945616510141,H,A -> B -> E -> H -> K -> M -> O
4,M,14.52764651902839,K,A -> B -> E -> H -> K -> M -> O
4,N,14.026209778742864,L,A -> B -> E -> H -> K -> M -> O
4,O,15.738385983392726,M,A -> B -> E -> H -> K -> M -> O
5,A,0,,A -> B -> E -> H -> L -> N -> O
5,B,1.5412644268632936,A,A -> B -> E -> H -> L -> N -> O
5,C,3.985348172075387,A,A -> B -> E -> H -> L -> N -> O
5,D,2.1662416070631614,A,A -> B -> E -> H -> L -> N -> O
5,E,3.224594598411512,B,A -> B -> E -> H -> L -> N -> O
5,F,5.508447089675145,C,A -> B -> E -> H -> L -> N -> O
5,G,4.224050159392464,D,A -> B -> E -> H -> L -> N -> O
5,H,6.162441436341457,E,A -> B -> E -> H -> L -> N -> O
5,I,7.427282078742532,F,A -> B -> E -> H -> L -> N -> O
5,J,7.950678523395402,G,A -> B -> E -> H -> L -> N -> O
5,K,9.043925494067404,J,A -> B -> E -> H -> L -> N -> O
5,L,7.6557992653776985,H,A -> B -> E -> H -> L -> N -> O
5,M,13.841238069352496,K,A -> B -> E -> H -> L -> N -> O
5,N,10.931084906770533,L,A -> B -> E -> H -> L -> N -> O
5,O,14.042200645788954,N,A -> B -> E -> H -> L -> N -> O
