Iterasi,Node,Energi (Volt),Digunakan
1,A,4.199965,Ya
1,B,4.199965,Ya
1,C,4.199965,Ya
1,D,4.199965,Ya
1,E,4.199965,Ya
1,F,4.199965,Ya
1,G,4.199965,Ya
1,H,4.199965,Ya
1,I,4.199965,Ya
1,J,4.199965,Ya
1,K,4.199965,Ya
1,L,4.199965,Ya
1,M,4.199965,Ya
1,N,4.199965,Ya
1,O,4.199965,Ya
2,A,4.199965,Tidak
2,B,4.199965,Tidak
2,C,4.199965,Tidak
2,D,4.199965,Tidak
2,E,4.199965,Tidak
2,F,4.199965,Tidak
2,G,4.199965,Tidak
2,H,4.199965,Tidak
2,I,4.199965,Tidak
2,J,4.199965,Tidak
2,K,4.199965,Tidak
2,L,4.199965,Tidak
2,M,4.199965,Tidak
2,N,4.199965,Tidak
2,O,4.199965,Tidak
