Iterasi,Source,Dest,Path,Node,Energi (Volt),Digunakan
1,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199965,Ya
1,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199965,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,A,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,B,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,C,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,D,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,E,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,F,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,G,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,H,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,I,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,J,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,K,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,L,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,M,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,N,4.19993,Ya
2,A,O,A -> B -> E -> H -> K -> M -> O,O,4.19993,Ya
3,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199895,Ya
3,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199895,Ya
3,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199895,Ya
